NoOfEvals,MyRexJggKTabletP7K5_0,MyRexJggKTabletP7K5_1,MyRexJggKTabletP7K5_2
20500,31.612475619885853,75.15443803027432,201.6742093938268
20600,31.608938673937708,75.12257334590659,201.74285753686985
20700,31.609756261705822,75.12304394149483,201.71385667464244
20800,31.591536639094876,75.13110087001515,201.72896244599957
20900,31.58295672912324,75.10395104809271,201.72896244599957
21000,31.567834705659138,75.02016485609572,201.73518235400704
21100,31.567834705659138,75.00790911576294,201.7366050383395
21200,31.567834705659138,75.02016485609572,201.66099525403507
21300,31.573606956754336,75.02403826564444,201.70708667505656
21400,31.55482673678978,75.02266326711927,201.70229475812002
21500,31.559102920473954,75.02266326711927,201.6960012618746
21600,31.559102920473954,75.02266326711927,201.6960012618746
21700,31.552189342084358,75.0019535019034,201.656804366414
21800,31.53886182716402,74.98141610912332,201.69742464813694
21900,31.538015501299757,74.98141610912332,201.69742464813694
22000,31.53202259683575,74.99697353885391,201.69742464813694
22100,31.53202259683575,74.96872749642351,201.674683125556
22200,31.53202259683575,74.96872749642351,201.66759372253875
22300,31.53202259683575,74.96872749642351,201.66759372253875
22400,31.53202259683575,74.96872749642351,201.65746445531673
22500,31.53202259683575,74.96872749642351,201.65746445531673
22600,31.535602656171946,74.96872749642351,201.65294674088358
22700,31.542103004394367,74.99580499825156,201.65294674088358
22800,31.538807909073718,74.99580499825156,201.65294674088358
22900,31.541527624951595,74.97626497844512,201.6449376514823
23000,31.54136889791179,74.97626497844512,201.64619355010794
23100,31.535078030985385,74.9942367096938,201.64619355010794
23200,31.535078030985385,74.97983400359608,201.64619355010794
23300,31.535078030985385,74.97983400359608,201.6454196462769
23400,31.535078030985385,74.97983400359608,201.6428766864678
23500,31.532045444366812,74.98750389388557,201.6428766864678
23600,31.532045444366812,74.98557251800503,201.6267398595542
23700,31.532045444366812,74.98750389388557,201.6267398595542
23800,31.529741229621777,74.98737315506011,201.6267398595542
23900,31.525955931657595,74.98737315506011,201.62378734016838
24000,31.525332330318783,74.98737315506011,201.62378734016838
24100,31.525955931657595,74.97900454100251,201.62378734016838
24200,31.525955931657595,74.98678847147774,201.6271099295069
24300,31.52435727696738,74.97636081848354,201.6256703607553
24400,31.52435727696738,74.97636081848354,201.6275092655984
24500,31.52435727696738,74.97636081848354,201.62561905544155
24600,31.523692920723633,74.97636081848354,201.6249356619211
24700,31.524221082412687,74.97634106219978,201.6238155697893
24800,31.515993551337164,74.97636081848354,201.6186078691945
